chemin,class,classe_LOC,classe_CLOC,classe_DC,complexiteCyclomatiqueClasse,classe_BC
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\DeleteAppointmentController.java,DeleteAppointmentController,100,38,0.38,6,0.06333333333333334
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\DeleteUserController.java,DeleteUserController,103,36,0.34951456310679613,8,0.043689320388349516
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\DeleteVisitorController.java,DeleteVisitorController,96,35,0.3645833333333333,6,0.06076388888888889
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\FindAppointmentController.java,FindAppointmentController,103,38,0.36893203883495146,5,0.07378640776699029
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\FindUserController.java,FindUserController,112,36,0.32142857142857145,8,0.04017857142857143
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\FindVisitorController.java,FindVisitorController,98,36,0.3673469387755102,5,0.07346938775510205
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\SystemController.java,SystemController,138,58,0.42028985507246375,2,0.21014492753623187
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\userController.java,userController,260,109,0.41923076923076924,4,0.10480769230769231
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\Controller\VisitorController.java,VisitorController,182,80,0.43956043956043955,2,0.21978021978021978
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\AddAppointmentView.java,AddAppointmentView,67,1,0.014925373134328358,1,0.014925373134328358
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\AddVisitorView.java,AddVisitorView,75,1,0.013333333333333334,1,0.013333333333333334
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\AddVolunteerView.java,AddVolunteerView,88,4,0.045454545454545456,1,0.045454545454545456
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\CalendarView.java,CalendarView,64,5,0.078125,3,0.026041666666666668
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\ConsultCalendarView.java,ConsultCalendarView,28,1,0.03571428571428571,1,0.03571428571428571
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\ConsultVisitorView.java,ConsultVisitorView,29,1,0.034482758620689655,1,0.034482758620689655
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\ConsultVolunteerView.java,ConsultVolunteerView,29,1,0.034482758620689655,1,0.034482758620689655
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\DeleteAppointmentView.java,DeleteAppointmentView,47,2,0.0425531914893617,1,0.0425531914893617
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\DeleteUserView.java,DeleteUserView,47,0,0.0,1,0.0
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\DeleteVisitorView.java,DeleteVisitorView,47,0,0.0,1,0.0
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\FindAppointmentView.java,FindAppointmentView,33,0,0.0,1,0.0
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\FindUserView.java,FindUserView,42,0,0.0,1,0.0
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\FindVisitorView.java,FindVisitorView,36,0,0.0,1,0.0
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\LoginView.java,LoginView,40,3,0.075,1,0.075
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\MenuView.java,MenuView,80,18,0.225,1,0.225
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\UserView.java,UserView,42,5,0.11904761904761904,1,0.11904761904761904
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\IFT2255_DM3-main\VaxToDo\src\main\java\View\VisitorView.java,VisitorView,65,6,0.09230769230769231,3,0.03076923076923077
