chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
D:\Tests\jfreechart\src\test\java\org\jfree\data\DefaultKeyedValuesTest.java,DefaultKeyedValuesTest,428,120,0.2803738317757009,18,0.015576323987538939
D:\Tests\jfreechart\src\test\java\org\jfree\data\DefaultKeyedValueTest.java,DefaultKeyedValueTest,117,57,0.48717948717948717,5,0.09743589743589744
D:\Tests\jfreechart\src\test\java\org\jfree\data\DomainOrderTest.java,DomainOrderTest,83,47,0.5662650602409639,4,0.14156626506024098
D:\Tests\jfreechart\src\test\java\org\jfree\data\KeyedObjects2DTest.java,KeyedObjects2DTest,348,85,0.2442528735632184,11,0.022204806687565307
D:\Tests\jfreechart\src\test\java\org\jfree\data\KeyedObjectsTest.java,KeyedObjectsTest,313,90,0.28753993610223644,9,0.03194888178913738
D:\Tests\jfreechart\src\test\java\org\jfree\data\KeyedObjectTest.java,KeyedObjectTest,107,54,0.5046728971962616,3,0.16822429906542055
D:\Tests\jfreechart\src\test\java\org\jfree\data\KeyToGroupMapTest.java,KeyToGroupMapTest,211,88,0.41706161137440756,8,0.052132701421800945
D:\Tests\jfreechart\src\test\java\org\jfree\data\RangeTest.java,RangeTest,300,87,0.29,14,0.020714285714285713
D:\Tests\jfreechart\src\test\java\org\jfree\data\RangeTypeTest.java,RangeTypeTest,83,47,0.5662650602409639,4,0.14156626506024098
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\AbstractRenderer.java,AbstractRenderer,2774,1539,0.5547945205479452,239,0.002321315985556256
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\AreaRendererEndType.java,AreaRendererEndType,58,52,0.896551724137931,1,0.896551724137931
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\DefaultPolarItemRenderer.java,DefaultPolarItemRenderer,840,354,0.42142857142857143,75,0.005619047619047619
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\GrayPaintScale.java,GrayPaintScale,203,121,0.5960591133004927,14,0.04257565095003519
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\LookupPaintScale.java,LookupPaintScale,344,165,0.4796511627906977,31,0.015472618154538636
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\NotOutlierException.java,NotOutlierException,57,51,0.8947368421052632,1,0.8947368421052632
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\Outlier.java,Outlier,196,126,0.6428571428571429,18,0.03571428571428572
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\OutlierList.java,OutlierList,156,107,0.6858974358974359,11,0.06235431235431235
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\OutlierListCollection.java,OutlierListCollection,157,108,0.6878980891719745,12,0.057324840764331204
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\package-info.java,package-info,4,3,0.75,1,0.75
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\PaintScale.java,PaintScale,73,65,0.8904109589041096,1,0.8904109589041096
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\PolarItemRenderer.java,PolarItemRenderer,182,147,0.8076923076923077,1,0.8076923076923077
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\RendererState.java,RendererState,103,72,0.6990291262135923,7,0.09986130374479889
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\RendererUtils.java,RendererUtils,247,94,0.3805668016194332,33,0.011532327321801006
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\WaferMapRenderer.java,WaferMapRenderer,344,145,0.42151162790697677,36,0.011708656330749355
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\DateRange.java,DateRange,147,103,0.7006802721088435,6,0.11678004535147392
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Day.java,Day,435,248,0.5701149425287356,25,0.022804597701149426
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\DynamicTimeSeriesCollection.java,DynamicTimeSeriesCollection,860,469,0.5453488372093023,85,0.006415868673050615
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\FixedMillisecond.java,FixedMillisecond,260,149,0.573076923076923,21,0.027289377289377286
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Hour.java,Hour,443,248,0.5598194130925508,31,0.01805869074492099
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Millisecond.java,Millisecond,412,218,0.529126213592233,30,0.017637540453074432
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Minute.java,Minute,448,242,0.5401785714285714,31,0.01742511520737327
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Month.java,Month,495,256,0.5171717171717172,42,0.012313612313612313
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\MovingAverage.java,MovingAverage,296,131,0.44256756756756754,31,0.014276373147340888
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Quarter.java,Quarter,440,242,0.55,28,0.019642857142857146
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\RegularTimePeriod.java,RegularTimePeriod,361,251,0.6952908587257618,24,0.02897045244690674
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Second.java,Second,420,224,0.5333333333333333,32,0.016666666666666666
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\SimpleTimePeriod.java,SimpleTimePeriod,201,110,0.5472636815920398,19,0.028803351662738935
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimePeriod.java,TimePeriod,57,51,0.8947368421052632,1,0.8947368421052632
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimePeriodAnchor.java,TimePeriodAnchor,48,42,0.875,1,0.875
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimePeriodFormatException.java,TimePeriodFormatException,49,43,0.8775510204081632,1,0.8775510204081632
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimePeriodValue.java,TimePeriodValue,168,103,0.6130952380952381,14,0.04379251700680272
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimePeriodValues.java,TimePeriodValues,425,204,0.48,42,0.011428571428571429
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimePeriodValuesCollection.java,TimePeriodValuesCollection,411,204,0.49635036496350365,36,0.013787510137875101
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimeSeries.java,TimeSeries,1172,574,0.48976109215017066,125,0.003918088737201365
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimeSeriesCollection.java,TimeSeriesCollection,663,340,0.5128205128205128,60,0.008547008547008546
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimeSeriesDataItem.java,TimeSeriesDataItem,190,125,0.6578947368421053,14,0.04699248120300752
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimeSeriesTableModel.java,TimeSeriesTableModel,240,113,0.4708333333333333,26,0.018108974358974357
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,TimeTableXYDataset,561,331,0.5900178253119429,43,0.013721344774696347
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Week.java,Week,595,293,0.492436974789916,48,0.010259103641456583
D:\Tests\jfreechart\src\main\java\org\jfree\data\time\Year.java,Year,368,227,0.6168478260869565,22,0.028038537549407116
D:\Tests\jfreechart\src\test\java\org\jfree\chart\AreaChartTest.java,AreaChartTest,167,71,0.4251497005988024,12,0.035429141716566866
D:\Tests\jfreechart\src\test\java\org\jfree\chart\BarChartTest.java,BarChartTest,165,72,0.43636363636363634,12,0.03636363636363636
D:\Tests\jfreechart\src\test\java\org\jfree\chart\ChartRenderingInfoTest.java,ChartRenderingInfoTest,117,52,0.4444444444444444,4,0.1111111111111111
D:\Tests\jfreechart\src\test\java\org\jfree\chart\GanttChartTest.java,GanttChartTest,266,92,0.3458646616541353,11,0.03144224196855776
D:\Tests\jfreechart\src\test\java\org\jfree\chart\JFreeChartTest.java,JFreeChartTest,409,115,0.28117359413202936,14,0.020083828152287812
D:\Tests\jfreechart\src\test\java\org\jfree\chart\LegendItemCollectionTest.java,LegendItemCollectionTest,109,53,0.48623853211009177,3,0.16207951070336393
D:\Tests\jfreechart\src\test\java\org\jfree\chart\LegendItemTest.java,LegendItemTest,315,58,0.18412698412698414,4,0.046031746031746035
D:\Tests\jfreechart\src\test\java\org\jfree\chart\LineChartTest.java,LineChartTest,162,73,0.4506172839506173,12,0.03755144032921811
D:\Tests\jfreechart\src\test\java\org\jfree\chart\MeterChartTest.java,MeterChartTest,69,47,0.6811594202898551,2,0.34057971014492755
D:\Tests\jfreechart\src\test\java\org\jfree\chart\PieChartTest.java,PieChartTest,104,66,0.6346153846153846,5,0.12692307692307692
D:\Tests\jfreechart\src\test\java\org\jfree\chart\ScatterPlotTest.java,ScatterPlotTest,153,69,0.45098039215686275,8,0.056372549019607844
D:\Tests\jfreechart\src\test\java\org\jfree\chart\StackedAreaChartTest.java,StackedAreaChartTest,161,71,0.4409937888198758,12,0.03674948240165631
D:\Tests\jfreechart\src\test\java\org\jfree\chart\StackedBarChartTest.java,StackedBarChartTest,163,71,0.43558282208588955,12,0.036298568507157465
D:\Tests\jfreechart\src\test\java\org\jfree\chart\StandardChartThemeTest.java,StandardChartThemeTest,236,76,0.3220338983050847,3,0.10734463276836158
D:\Tests\jfreechart\src\test\java\org\jfree\chart\TestUtils.java,TestUtils,171,69,0.40350877192982454,6,0.06725146198830409
D:\Tests\jfreechart\src\test\java\org\jfree\chart\TimeSeriesChartTest.java,TimeSeriesChartTest,153,69,0.45098039215686275,8,0.056372549019607844
D:\Tests\jfreechart\src\test\java\org\jfree\chart\WaterfallChartTest.java,WaterfallChartTest,125,60,0.48,6,0.08
D:\Tests\jfreechart\src\test\java\org\jfree\chart\XYAreaChartTest.java,XYAreaChartTest,152,69,0.45394736842105265,9,0.050438596491228074
D:\Tests\jfreechart\src\test\java\org\jfree\chart\XYBarChartTest.java,XYBarChartTest,156,69,0.4423076923076923,8,0.055288461538461536
D:\Tests\jfreechart\src\test\java\org\jfree\chart\XYLineChartTest.java,XYLineChartTest,153,69,0.45098039215686275,8,0.056372549019607844
D:\Tests\jfreechart\src\test\java\org\jfree\chart\XYStepAreaChartTest.java,XYStepAreaChartTest,152,69,0.45394736842105265,7,0.06484962406015038
D:\Tests\jfreechart\src\test\java\org\jfree\chart\XYStepChartTest.java,XYStepChartTest,164,76,0.4634146341463415,8,0.057926829268292686
